"";"Komitet";"n_glosow_2010";"pct_glosow_2010";"n_glosow_2014";"pct_glosow_2014"
"1";"Bezpartyjni KWW Pomorze Zachodnie";NA;NA;47318;0,00396672371657819
"2";"KKW SLD Lewica Razem";NA;NA;1048121;0,087865218913387
"3";"KOALICYJNY KOMITET WYBORCZY LEWICA";91196;0,0071687213710215;NA;NA
"4";"KOMITET WYBORCZY CENTRUM ZRÓWNOWA¯ONEGO ROZWOJU";844;0,0000663450243118355;NA;NA
"5";"KOMITET WYBORCZY EKOPARK";2130;0,000167434717753803;NA;NA
"6";"KOMITET WYBORCZY INICJATYWA OBYWATELSKA POWIATU TARNOGÓRSKIEGO";4764;0,000374487791257801;NA;NA
"7";"KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW";231263;0,0181790869163839;NA;NA
"8";"KOMITET WYBORCZY LIGA POLSKICH RODZIN";87545;0,00688172411537871;NA;NA
"9";"KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI";30776;0,00241923515192067;NA;NA
"10";"KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA";133284;0,0104771685075577;NA;NA
"11";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";3930210;0,308945353081302;NA;NA
"12";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEÑ 80";149482;0,0117504584409737;NA;NA
"13";"Komitet Wyborczy Polska Patriotyczna";NA;NA;6704;0,000562004222408812
"14";"KOMITET WYBORCZY POLSKA PATRIOTYCZNA";6955;0,000546717587782957;NA;NA
"15";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";2073234;0,162972464613891;NA;NA
"16";"KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ";78287;0,006153972652015;NA;NA
"17";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŒÆ";2931867;0,23046775757591;NA;NA
"18";"KOMITET WYBORCZY PRZYMIERZA NARODU POLSKIEGO";12959;0,00101867911144203;NA;NA
"19";"Komitet Wyborczy PSL";NA;NA;2848447;0,238788669646139
"20";"KOMITET WYBORCZY RUCH AUTONOMII ŒL¥SKA";122781;0,00965155027254913;NA;NA
"21";"KOMITET WYBORCZY RUCH PRZE£OMU NARODOWEGO";8044;0,000632321535028915;NA;NA
"22";"Komitet Wyborczy Samoobrona Odrodzenie";NA;NA;1772;0,000148548848763188
"23";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";1933913;0,152020740523667;NA;NA
"24";"KOMITET WYBORCZY STRONNICTWO ""PIAST""";29939;0,00235344038254981;NA;NA
"25";"KOMITET WYBORCZY TOWARZYSTWO SPO£ECZNO-KULTURALNE NIEMCÓW NA ŒL¥SKU OPOLSKIM";53670;0,00421888324030356;NA;NA
"26";"KOMITET WYBORCZY UNIA POLITYKI REALNEJ";56347;0,00442931645130212;NA;NA
"27";"KOMITET WYBORCZY WYBORCÓW  POROZUMIENIE SAMORZ¥DOWE";47303;0,0037183870675625;NA;NA
"28";"KOMITET WYBORCZY WYBORCÓW ""WSPÓLNOTA MA£OPOLSKA MARKA NAWARY""";68600;0,0053924984215544;NA;NA
"29";"KOMITET WYBORCZY WYBORCÓW DBAJMY O ZIELEÑ";769;0,0000604494356585325;NA;NA
"30";"KOMITET WYBORCZY WYBORCÓW KONSTANTEGO DOMBROWICZA. MIASTO DLA POKOLEÑ";27603;0,0021698124479616;NA;NA
"31";"KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZ¥DOWA";90650;0,00712580148562545;NA;NA
"32";"KOMITET WYBORCZY WYBORCÓW KWW SKUTECZNIEDOPRZODU.PL";536;0,0000421338069089381;NA;NA
"33";"KOMITET WYBORCZY WYBORCÓW LO¯A SZYDERCÓW";767;0,0000602922199611111;NA;NA
"34";"KOMITET WYBORCZY WYBORCÓW M£ODZI GWARANCJ¥ ZMIAN";9642;0,000757936877268623;NA;NA
"35";"KOMITET WYBORCZY WYBORCÓW MYŒL¥CY INACZEJ";979;0,0000769570838877807;NA;NA
"36";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA NASZ POWIAT - TO MY";5864;0,000460956424839577;NA;NA
"37";"KOMITET WYBORCZY WYBORCÓW NIEZALE¯NA PLATFORMA INICJATYW SPO£ECZNYCH-TERAZ WIELKOPOLSKA";26914;0,00211565164019993;NA;NA
"38";"KOMITET WYBORCZY WYBORCÓW NIEZALE¯NY RUCH SPO£ECZNY ZACHODNIOPOMORSKIE";1579;0,000124121793114204;NA;NA
"39";"KOMITET WYBORCZY WYBORCÓW OBRONY PRAW CZ£OWIEKA";3972;0,000312230375078922;NA;NA
"40";"KOMITET WYBORCZY WYBORCÓW PLATFORMA WYBORCZA";31710;0,00249265488261647;NA;NA
"41";"KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK";15432;0,00121307632130361;NA;NA
"42";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE CENTROWO-BEHAWIORYSTYCZNO-SOCJALISTYCZNE";680;0,0000534533371232797;NA;NA
"43";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE PRAWICY W G£UBCZYCACH";866;0,000068074396983471;NA;NA
"44";"KOMITET WYBORCZY WYBORCÓW RAFA£A DUTKIEWICZA";208867;0,0164185855366589;NA;NA
"45";"KOMITET WYBORCZY WYBORCÓW RUCH SPO£ECZNY 2010";722;0,0000567548667691294;NA;NA
"46";"KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE";155210;0,0122007241983886;NA;NA
